"Cluster","Primary keyword","Related entities and subquestions","Intent","Canonical target URL","Status","Funnel","Priority","Recommended format","Internal links","Cannibalization risk"
"UPSC CSE","UPSC Civil Services preparation","prelims; mains; optional; interview; CSAT","Informational","https://brollyexamprep.com/government-exams/upsc/upsc-civil-services/","Existing","Consideration","High","Deep pillar and planning tool","Resources; polity; economy; history; current-affairs method","Do not create IAS synonym doorway pages"
"State exams","state government exams","PSC; police; TET; state syllabus; state language","Informational","https://brollyexamprep.com/government-exams/state/","Existing","Awareness","High","State-selection hub","Seven state pages; state resource hubs","State pages own geographic terms"
"Bihar exams","Bihar government exams","BPSC; BSSC; CSBC; official sources; Hindi medium","Informational","https://brollyexamprep.com/government-exams/state/bihar/","Existing","Consideration","High","State pillar with commission comparison","State syllabus; papers; study material; diagnostic","BPSC-specific future page only with distinct depth"
"Telangana exams","Telangana government exams","TGPSC; police; TET; Telugu; official sources","Informational","https://brollyexamprep.com/government-exams/state/telangana/","Existing","Consideration","High","State pillar","Telangana Police; state resources","Avoid duplicate TS/Telangana variant pages"
"Study material","competitive exam study material","quant; reasoning; English; polity; history; science","Informational","https://brollyexamprep.com/study-material/","Existing","Awareness","High","Subject library hub","Every subject hub","Topics own specific concept queries"
"Quantitative aptitude","quantitative aptitude for competitive exams","arithmetic; percentage; ratio; time and work; speed","Informational","https://brollyexamprep.com/study-material/quantitative-aptitude/","Existing","Consideration","High","Subject hub with learning path","All quant lessons; diagnostics","Each lesson owns its topic"
"Percentages","percentage questions for competitive exams","successive change; percentage points; worked examples","Informational","https://brollyexamprep.com/study-material/quantitative-aptitude/percentages/","Existing","Consideration","Medium","Lesson, examples and practice","Quant hub; profit and loss; ratio","Do not split question wording variants"
"Reasoning","reasoning for competitive exams","syllogism; puzzles; seating; coding; series","Informational","https://brollyexamprep.com/study-material/reasoning/","Existing","Consideration","High","Subject hub","All reasoning lessons","Topic pages own exact concepts"
"Previous papers","how to use previous year papers","find official papers; tag topics; preserve unseen papers","Informational","https://brollyexamprep.com/previous-year-papers/","Existing","Awareness","High","Method guide plus exam-family routes","All exam paper resources","Does not own individual exam-paper query"
"Mock tests","free mock tests for government exams","available tests; honest length; scoring; explanations","Transactional","https://brollyexamprep.com/mock-tests/free/","Existing","Conversion","High","Live inventory only","Eight diagnostics; exam pillars","Family pages filter; test pages transact"
"Current affairs method","how to prepare current affairs for competitive exams","primary sources; themed notes; retrieval; monthly revision","Informational","https://brollyexamprep.com/current-affairs/","Existing","Awareness","Medium","Evergreen process guide","Topic and exam current-affairs hubs","Do not target today's news until a verified feed exists"
"Exam notification method","how to check government exam notification","official website; PDF; corrigendum; dates; eligibility","Informational","https://brollyexamprep.com/exam-updates/latest-notifications/","Existing","Awareness","Medium","Official-source checklist","Exam updates; calendars; individual exam guides","Do not imply a live tracker without data operations"
"AI search guide","Google AI search optimization guide","AI Overviews; AI Mode; RAG; fan-out; GEO; AEO; llms.txt","Informational","https://brollyexamprep.com/blog/google-ai-search-optimization-guide/","Existing","Awareness","Medium","Primary-source explanatory article","Editorial policy; site architecture examples","Keep separate from exam-preparation topical authority"
"Hindi government exams","सरकारी परीक्षा की तैयारी","SSC; बैंकिंग; रेलवे; राज्य परीक्षा; हिंदी मॉक टेस्ट","Informational","Future /hi/ architecture after native review","New dependency","Awareness","High","Native Hindi hubs with hreflang and parity","English equivalents and language selector","Do not machine-translate or mix Hindi into English canonicals"
"Hindi SSC CGL","SSC CGL की तैयारी","सिलेबस; परीक्षा पैटर्न; पिछले पेपर; मॉक टेस्ट","Informational","Future /hi/government-exams/ssc/ssc-cgl/","New dependency","Consideration","High","Native Hindi pillar and resources","Hindi SSC hub; Hindi subject lessons","Requires maintained content parity and native QA"
"Regional language","Telangana exams Telugu preparation","TGPSC; Telugu medium; official Telugu notice","Informational","Future language route after demand validation","New dependency","Consideration","Medium","Native-language state guide","Telangana pillar; official source","Validate Search Console demand before expansion"
"Comparison","SSC CGL vs banking exams","eligibility; syllabus overlap; stages; job type","Commercial investigation","Future /guides/ssc-cgl-vs-bank-exams/","New","Consideration","Medium","Decision table with explicit assumptions","SSC hub; banking hub; quant; reasoning","Create only after SERP/GSC confirms distinct intent"
"Original research","SSC CGL topic frequency study","official papers; topic tags; year; stage; methodology","Linkable research","Future /research/ssc-cgl-topic-frequency/","New dependency","Awareness","High","Downloadable sourced dataset and methodology","SSC papers; syllabus; lessons","Requires licensed/official papers and reproducible tagging"
"Tool","negative marking score calculator","correct; wrong; blank; marks; penalty; exam rules","Utility","Future /tools/negative-marking-calculator/","New","Conversion","High","Accessible calculator with formulas and examples","Exam pattern pages; diagnostics","One tool handles parameter variants"
